tweet_id,created_at,created_at_et,text,tweet_type,counts_for_resolution,in_reply_to_user_id,conversation_id,is_self_reply,like_count,reply_count,retweet_count,quote_count,impression_count,bookmark_count,source,lang
2020878094370791804,2026-02-09T15:10:58.000Z,2026-02-09T10:10:58-05:00,"RT @ResisttheMS: NEW: Democrat Sen. John Fetterman calls for Voter ID, pummeling his own party. https://t.co/iqrDPCkMO6",retweet,True,,2020878094370791804,False,0,0,1139,0,10,0,,en
2020875727428628757,2026-02-09T15:01:34.000Z,2026-02-09T10:01:34-05:00,Civilization on the Moon! https://t.co/b3zVA0dU8G,quote,True,,2020875727428628757,False,100549,17088,10428,1830,19589708,4525,,en
2020874043667226748,2026-02-09T14:54:52.000Z,2026-02-09T09:54:52-05:00,"@JeffBezos @blueorigin When it’s coming out slowly, but ferociously",reply,False,44196397,2020861883524247807,True,9210,803,276,82,562237,181,,en
2020873091014959165,2026-02-09T14:51:05.000Z,2026-02-09T09:51:05-05:00,@JeffBezos @blueorigin Turtle heading?,reply,False,15506669,2020861883524247807,False,11794,910,288,96,852350,199,,en
2020871728633639373,2026-02-09T14:45:40.000Z,2026-02-09T09:45:40-05:00,@TRobinsonNewEra Yes,reply,False,374712154,2020862496219832374,False,16006,300,270,10,282139,53,,und
2020871716109480230,2026-02-09T14:45:37.000Z,2026-02-09T09:45:37-05:00,RT @TRobinsonNewEra: https://t.co/KbK6JQrEE8,retweet,True,,2020871716109480230,False,0,0,3876,0,11,0,,zxx
2020871440354988443,2026-02-09T14:44:32.000Z,2026-02-09T09:44:32-05:00,"RT @cb_doge: NEWS: India's ‌Gujarat state has signed ‌a letter of intent with Starlink to provide ‌high-speed, satellite-based internet con…",retweet,True,,2020871440354988443,False,0,0,612,0,2,0,,en
2020871130509140310,2026-02-09T14:43:18.000Z,2026-02-09T09:43:18-05:00,@Rothmus @LoopitAi 😂,reply,False,294293982,2020740534290329649,False,1203,150,48,4,54314,19,,qme
2020870998992601132,2026-02-09T14:42:46.000Z,2026-02-09T09:42:46-05:00,"RT @TheCaptainEli: Watching Elon Musk on Charlie Rose in 2009 is surreal.

Back then:

• Tesla delivering ~1,000 Roadsters/year

• Model S…",retweet,True,,2020870998992601132,False,0,0,487,0,5,0,,en
2020870934031147494,2026-02-09T14:42:31.000Z,2026-02-09T09:42:31-05:00,"RT @Rothmus: &gt;tap
&gt;tap again
&gt;tap tap tap tap
&gt;this should be Sidney Sweeney

@LoopitAi https://t.co/qkOLIFipoa",retweet,True,,2020870934031147494,False,0,0,276,0,9,0,,en
2020848488976629890,2026-02-09T13:13:19.000Z,2026-02-09T08:13:19-05:00,Try using Grok live camera https://t.co/vWv6umnZL3,quote,True,,2020848488976629890,False,9487,1663,1658,65,2108673,568,,en
2020848181433491910,2026-02-09T13:12:06.000Z,2026-02-09T08:12:06-05:00,@peterrhague @r3a9an_k_ Maybe 2031,reply,False,28138103,2020842719489491280,False,1586,124,82,36,76185,68,,en
2020847788234297584,2026-02-09T13:10:32.000Z,2026-02-09T08:10:32-05:00,https://t.co/BTEjXhOefO,original,True,,2020847788234297584,False,38628,3647,3373,380,13068423,2591,,zxx
2020847564006826126,2026-02-09T13:09:39.000Z,2026-02-09T08:09:39-05:00,Bannon is evil https://t.co/pQOO0hlaf2,quote,True,,2020847564006826126,False,68108,3529,13632,550,7599365,3404,,en
2020847292320772114,2026-02-09T13:08:34.000Z,2026-02-09T08:08:34-05:00,Good progress https://t.co/GGf2pHUwpY,quote,True,,2020847292320772114,False,9439,1206,1443,49,2848406,225,,en
2020845358151266513,2026-02-09T13:00:53.000Z,2026-02-09T08:00:53-05:00,"@aaronburnett The Moon would establish a foothold beyond Earth quickly, to protect life against risk of a natural or manmade disaster on Earth. 

We would continue to launch directly from Earth to Mars while possible, rather than Moon to Mars, as fuel is relatively scarce on the Moon.",reply,False,331865640,2020837175164850444,False,8180,1277,633,154,1721188,403,,en
2020844532246671675,2026-02-09T12:57:36.000Z,2026-02-09T07:57:36-05:00,Yes https://t.co/hKrVnb4PGX,quote,True,,2020844532246671675,False,202366,4409,30026,532,7433310,2634,,qst
2020840917331247104,2026-02-09T12:43:14.000Z,2026-02-09T07:43:14-05:00,"RT @nima_owji: More and more friends of mine are switching to GROKIPEDIA from Wikipedia! 🚀

Just add it to your home screen for quick acces…",retweet,True,,2020840917331247104,False,0,0,364,0,5,0,,en
2020840809881362511,2026-02-09T12:42:49.000Z,2026-02-09T07:42:49-05:00,@EchoesofWarYT Wow,reply,False,1798368784513662976,2020704647674311071,False,7070,239,187,6,106285,72,,und
2020838935551951208,2026-02-09T12:35:22.000Z,2026-02-09T07:35:22-05:00,Yes https://t.co/T4XJzhOEuo,quote,True,,2020838935551951208,False,34287,4060,4338,219,4284194,1158,,qst
2020838781411262680,2026-02-09T12:34:45.000Z,2026-02-09T07:34:45-05:00,"RT @beffjezos: Starbase, Moon is gonna be such a dope place to visit.

SpaceX getting into electromagnetic mass drivers using Tesla tech is…",retweet,True,,2020838781411262680,False,0,0,505,0,2,0,,en
2020838047495995886,2026-02-09T12:31:50.000Z,2026-02-09T07:31:50-05:00,Essential to stop fraud in elections https://t.co/Z7eAPMKi25,quote,True,,2020838047495995886,False,71098,2801,17314,343,2854398,2051,,en
2020837704192405585,2026-02-09T12:30:28.000Z,2026-02-09T07:30:28-05:00,"RT @AdamLowisz: Elon, thank you for taking down Epstein. You are a hero! 🫡 https://t.co/Vm0tJcsX4G",retweet,True,,2020837704192405585,False,0,0,564,0,3,0,,en
2020837632704717178,2026-02-09T12:30:11.000Z,2026-02-09T07:30:11-05:00,@davenewworld_2 Of course,reply,False,886398296146706432,2020582529385042358,False,5818,153,215,4,69007,18,,en
2020837212015956213,2026-02-09T12:28:31.000Z,2026-02-09T07:28:31-05:00,RT @vpopulimedia: 🇬🇧 Rotherham: An 11-year-old girl who previously reported she was sexually abused was found in a derelict house with anot…,retweet,True,,2020837212015956213,False,0,0,6430,0,6,0,,en
2020837072370888717,2026-02-09T12:27:58.000Z,2026-02-09T07:27:58-05:00,"RT @BasilTheGreat: The BBC are still refusing to say a single word about the Rape Gang Inquiry

How depraved at the people at our national…",retweet,True,,2020837072370888717,False,0,0,3633,0,2,0,,en
